	Startdatum	Startort	Strasse	Zielort	Strasse	Startkilometer	Endkilometer	Strecke	Priv/Business	Person/Firma	Zweck	Ankunftsdatum	
6	01.01.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	92028	92032	4	Privat			01.01.2011	6
7	02.01.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	92032	92038	6	Privat			02.01.2011	7
1	03.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92038	92061	23	Business	ECSM Kunde	Risk Projekt	03.01.2011	1
1	03.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92061	92084	23	Rückfahrt	Rückfahrt	Rückfahrt	03.01.2011	1
2	04.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92084	92106	22	Business	ECSM Kunde	Risk Projekt	04.01.2011	2
2	04.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92106	92129	23	Rückfahrt	Rückfahrt	Rückfahrt	04.01.2011	2
3	05.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92129	92152	23	Business	ECSM Kunde	Risk Projekt	05.01.2011	3
3	05.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92152	92174	22	Rückfahrt	Rückfahrt	Rückfahrt	05.01.2011	3
4	06.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92174	92196	22	Business	ECSM Kunde	Risk Projekt	06.01.2011	4
4	06.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92196	92219	23	Rückfahrt	Rückfahrt	Rückfahrt	06.01.2011	4
5	07.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92219	92242	23	Business	ECSM Kunde	Risk Projekt	07.01.2011	5
5	07.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92242	92267	25	Rückfahrt	Rückfahrt	Rückfahrt	07.01.2011	5
6	08.01.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	92267	92273	6	Privat			08.01.2011	6
7	09.01.2011	Oberursel	Tannenweg	Frankfurt	Flughafen	92273	92302	29	Business	Flughafen	ECSM Auftraggeber abholen	09.01.2011	7
7	09.01.2011	Frankfurt	Flughafen	Oberursel	Tannenweg	92302	92330	28	Rückfahrt	Rückfahrt	Rückfahrt	09.01.2011	7
1	10.01.2011	Oberursel	Tannenweg	Frankfurt	Karl von Dreis strasse	92330	92345	15	Business	BMW	Reparatur	10.01.2011	1
1	10.01.2011	Frankfurt	Karl von Dreis strasse	Oberursel	Tannenweg	92345	92361	16	Rückfahrt	Rückfahrt	Rückfahrt	10.01.2011	1
2	11.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92361	92384	23	Business	ECSM Kunde	Risk Projekt	11.01.2011	2
2	11.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92384	92408	24	Rückfahrt	Rückfahrt	Rückfahrt	11.01.2011	2
3	12.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92408	92431	23	Business	ECSM Kunde	Risk Projekt	12.01.2011	3
3	12.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92431	92454	23	Rückfahrt	Rückfahrt	Rückfahrt	12.01.2011	3
4	13.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92454	92479	25	Business	ECSM Kunde	Risk Projekt	13.01.2011	4
4	13.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92479	92502	23	Rückfahrt	Rückfahrt	Rückfahrt	13.01.2011	4
5	14.01.2011	Oberursel	Tannenweg	Frankfurt	Platz der Einheit	92502	92526	24	Business	ECSM Kunde	Risk Projekt	14.01.2011	5
5	14.01.2011	Frankfurt	Platz der Einheit	Oberursel	Tannenweg	92526	92550	24	Rückfahrt	Rückfahrt	Rückfahrt	14.01.2011	5
6	15.01.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	92550	92568	18	Privat			15.01.2011	6
